[dump] RUN #1 heure=07:44:13 src=ENTREE_PIN rollout_ms=0 unit=FREDB dyn=7 rate_ms=40 gps=1 pre=16 imuf=2/7 ecu=HP statut=ABANDON
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=34
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-608,9,0.0,-108,-89,1009,4,-1,-2
R,-570,6,0.0,-108,-90,1010,3,-1,-2
R,-530,16,0.0,-109,-90,1009,3,-1,-2
R,-490,6,0.0,-109,-90,1008,3,-1,-2
R,-450,8,0.0,-107,-90,1009,4,-1,-2
R,-410,24,0.0,-108,-90,1009,4,-1,-2
R,-370,13,0.0,-107,-90,1009,4,-1,-2
R,-329,14,0.0,-108,-90,1009,4,-1,-2
R,-290,24,0.0,-108,-90,1010,3,-1,-2
R,-250,18,0.0,-107,-89,1009,4,-1,-2
R,-209,23,0.0,-108,-89,1010,4,-1,-2
R,-171,17,0.0,-108,-89,1009,4,-1,-2
R,-131,10,0.0,-108,-90,1009,4,-1,-2
R,-89,10,0.0,-109,-90,1009,3,-1,-2
R,-49,5,0.0,-109,-89,1009,3,-1,-2
R,-9,23,0.0,-108,-90,1009,3,-1,-2
R,30,14,0.0,-107,-90,1009,3,-1,-2
R,72,8,0.0,-108,-90,1009,3,-1,-2
R,110,14,0.0,-107,-90,1009,3,-1,-2
