[dump] === board=A46E9FDF948C fw=v7.5.00 -- 1 run(s) en flash ===
[dump] RUN #1 heure=13:05:28 src=SEUIL_GPS rollout_ms=0 statut=ABANDON
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,38,171,0.1,-140,-55,992,4,-4,-1
R,78,165,0.1,-140,-52,993,5,-4,0
R,118,159,0.2,-138,-57,996,6,-4,-1
R,158,152,0.2,-139,-58,991,3,-4,0
R,198,149,0.3,-138,-57,991,3,-4,-1
R,238,143,0.3,-128,-54,993,5,-4,-1
R,278,133,0.4,-135,-57,996,3,-4,0
R,318,127,0.4,-136,-57,996,6,-5,0
R,358,122,0.5,-137,-57,991,5,-4,-1
R,398,115,0.5,-135,-57,991,5,-4,0
R,438,105,0.6,-135,-56,992,5,-4,-1
R,487,93,0.6,-134,-55,991,5,-5,0
R,518,81,0.6,-136,-57,993,4,-4,0
R,559,72,0.7,-136,-56,990,7,-4,0
R,598,75,0.7,-138,-58,992,4,-4,0
R,638,78,0.7,-132,-57,994,4,-4,0
R,679,75,0.8,-136,-57,992,5,-4,-1
R,718,70,0.8,-136,-56,988,6,-4,-1
R,758,78,0.8,-134,-58,994,5,-4,-1
R,810,84,0.8,-137,-56,991,5,-4,-1
R,839,83,0.9,-139,-56,990,5,-5,-1
R,880,77,0.9,-136,-56,993,4,-5,0
R,920,87,0.9,-136,-55,997,5,-4,-1
R,959,95,1.0,-136,-56,995,4,-4,-1
R,1001,78,1.0,-134,-53,989,6,-4,0
R,1040,49,1.0,-133,-55,992,6,-5,-1
R,1080,31,1.0,-137,-52,993,5,-4,-1
R,1136,13,1.0,-141,-59,992,5,-4,-1
R,1160,15,1.0,-135,-56,990,7,-4,0
R,1200,29,1.0,-139,-54,992,4,-5,0
R,1239,37,1.1,-135,-55,995,6,-4,-1
R,1279,41,1.1,-133,-59,987,4,-5,-1
R,1320,40,1.1,-134,-55,991,6,-4,-1
R,1358,25,1.1,-139,-57,989,6,-5,0
R,1399,10,1.1,-139,-56,993,4,-5,0
R,1440,4,1.1,-132,-57,991,6,-4,-1
R,1478,8,1.1,-135,-57,987,3,-5,-1
R,1519,12,1.1,-136,-55,995,6,-4,0
R,1559,10,1.1,-134,-56,994,6,-4,-1
R,1599,8,1.1,-128,-53,992,7,-4,-1
R,1640,4,1.1,-129,-57,997,3,-4,0
R,1680,14,1.1,-135,-58,993,6,-4,-1
R,1719,24,1.1,-138,-56,994,5,-4,0
R,1759,28,1.1,-140,-54,988,6,-4,-1
R,1811,25,1.2,-134,-54,995,6,-5,-1
R,1839,17,1.2,-135,-54,1000,6,-4,0
R,1879,18,1.2,-129,-53,991,6,-4,-1
R,1920,12,1.2,-131,-56,996,5,-4,-1
R,1958,1,1.2,-135,-54,996,5,-4,0
R,2001,9,1.2,-134,-58,998,5,-3,0
R,2039,21,1.2,-138,-57,991,5,-4,0
R,2080,37,1.2,-134,-55,1000,4,-5,0
R,2120,48,1.2,-131,-55,999,7,-4,0
R,2159,43,1.2,-137,-59,991,5,-4,0
R,2200,31,1.2,-140,-55,991,5,-4,-1
R,2239,17,1.2,-135,-55,1000,6,-4,-1
R,2282,15,1.3,-135,-55,999,5,-4,-1
R,2320,15,1.3,-136,-55,990,4,-4,-1
R,2360,12,1.3,-134,-55,995,6,-4,0
R,2399,17,1.3,-137,-57,998,5,-4,-1
R,2439,12,1.3,-135,-57,996,4,-3,-1
R,2479,15,1.3,-140,-56,990,6,-4,0
R,2520,13,1.3,-132,-55,995,4,-5,0
R,2560,14,1.3,-139,-53,999,6,-4,0
R,2600,10,1.3,-138,-58,991,5,-4,0
R,2640,7,1.3,-138,-51,995,6,-4,0
R,2680,5,1.3,-134,-54,997,5,-4,0
R,2720,8,1.3,-135,-54,993,5,-4,-1
R,2760,9,1.3,-131,-55,992,4,-4,-1
R,2813,8,1.3,-136,-57,995,4,-4,-1
R,2840,1,1.3,-137,-56,994,5,-4,-1
R,2880,8,1.3,-133,-57,997,4,-4,-1
R,2920,19,1.3,-136,-56,994,5,-4,0
R,2959,32,1.3,-131,-53,994,6,-3,0
